id,title,year,venue,v1_decision,v1_reason
1,Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models,2025,Applied Sciences,INCLUDE,Meets all inclusion criteria (IC1-IC5)
2,Using BDD for non-functional requirements,2024,Software,EXCLUDE,"EC4: Not about test generation, only discusses BDD for non-functional requirements"
3,BDD: a case study in healthtech,2019,Pacific NW Software Quality Conference,EXCLUDE,"EC4: Case study about BDD adoption, not about test generation"
4,BDD Scenario Generation with Large Language Models,2026,arXiv,INCLUDE,Meets all inclusion criteria (IC1-IC5)
5,Comprehensive evaluation of LLMs in BDD acceptance test formulation,2024,IEEE Access,INCLUDE,Meets all inclusion criteria (IC1-IC5)
6,Advantages of Automated Testing Using Gherkin and BDD,2024,Integrated Computer Technologies,EXCLUDE,"EC4: Only discusses benefits of BDD, not about generation/automation"
7,Comparative analysis of LLM tools for automated test data generation from BDD,2024,SBES,INCLUDE,Meets all inclusion criteria (IC1-IC5)
8,Using BDD for Non-Functional Requirements (duplicate ref),2024,,EXCLUDE,EC1: Duplicate with paper #2
9,AUGMENTING SOFTWARE TESTING THROUGH BDD AND AI,,,EXCLUDE,IC2: No publication year; IC3: Venue not clear
10,Building a BDD Framework from Scratch for Automation Testing,2023,IJSAT,EXCLUDE,"EC4: About framework implementation, not about generation"
11,Advancing BDD Software Testing: Dynamic Scenario Re-Usability,2024,,EXCLUDE,"IC3: Venue not clearly peer-reviewed; EC4: About re-usability, not generation"
12,A Systematic Approach to Derive User Stories and Gherkin Scenarios from BPMN,2023,Business Modeling and Software Design,INCLUDE,Meets all inclusion criteria (IC1-IC5)
13,Implementation of BDD through test cases on web application,2023,AIP Conference Proceedings,EXCLUDE,"EC4: About BDD implementation, not about LLM-based generation"
14,Guidelines for the adoption of BDD: design science research,2025,,EXCLUDE,"EC4: About adoption guidelines, not about test generation"
15,Increasing Test Coverage by Automating BDD Tests using LLM,2024,SBQS 2024 (ACM),INCLUDE,Meets all inclusion criteria (IC1-IC5)
16,A Guide for Implementing BDD Framework in IT Projects,2025,,EXCLUDE,"EC4: Implementation guide, not about generation"
17,Automating BDD with Generative AI: Enhancing Efficiency in Test Automation,2025,Frontiers in Emerging CS,INCLUDE,Meets all inclusion criteria (IC1-IC5)
18,ChatGPT and Checklist as Support Tools for Unit Testing Education,2025,ACM FSE,EXCLUDE,"EC4: About education/unit testing, not about BDD/Gherkin generation"
19,Quality Assessment of Python Tests Generated by LLMs,2025,EASE,EXCLUDE,"EC4: About unit test quality, not about BDD/Gherkin"
20,Reinforcement learning for high-quality unit test generation,2025,DeepTest Workshop,EXCLUDE,"EC4: About unit test generation, not about BDD/Gherkin"
21,AI Testing for Smart Learning Applications ? Case Study,2025,,EXCLUDE,IC3: Not clearly peer-reviewed; IC4: Not related to BDD/Gherkin
22,Automated Test Suite Enhancement Using LLMs with Few-shot Prompting,2026,arXiv,EXCLUDE,"EC4: About unit test suite enhancement, not about BDD/Gherkin"
23,Software Unit Test Automation with LLM-Based Generative AI,2025,UBMK Conference,EXCLUDE,"EC4: About unit test automation, not about BDD/Gherkin"
24,Quality Evaluation of LLM-based Generated Test Case: Literature Review,2025,ICoDSE,EXCLUDE,"IC5: Literature review, no empirical results"
25,Improving the Quality of GitHub Copilot Generated Unit Tests,2026,Software Architecture Conference,EXCLUDE,"EC4: About unit test/Copilot, not about BDD/Gherkin"
26,Iterative Selection with Self-Review for Vocabulary Test Distractor Generation,2025,ACML,EXCLUDE,IC4: Not related to SE/BDD ? about vocabulary test in education
27,Usage of Generative AI Plugin in Unit Testing: Codiumate,2024,,EXCLUDE,"EC4: About unit test plugin, not about BDD/Gherkin"
28,Transformation of Student Testing Using Tests Generated by ChatGPT,,,EXCLUDE,"IC2: No publication year; IC4: About student testing, not SE"
29,How Students Use Generative AI for Software Testing,2025,arXiv,EXCLUDE,"IC4: Observational study about students, not about BDD/Gherkin generation"
30,Enhancing Automated Unit Test Generation with LLMs: SLR,2026,ACM TOSEM,EXCLUDE,"IC5: SLR, not an empirical study; EC4: About unit tests"
31,Unit test generation using LLMs: SLR,2024,Conference proceedings,EXCLUDE,IC5: SLR; EC4: About unit tests
32,Reimagining Unit Test Generation With AI,2025,IEEE Access,EXCLUDE,"EC4: About unit test generation, not about BDD/Gherkin"
33,Evaluating AI-Generated School Tests: Mathematics and Biology,2025,ICETA,EXCLUDE,"IC4: About school tests/education, not SE/BDD"
34,Image2Test: Using ChatGPT to build manual tests from screenshots,2025,SAST,EXCLUDE,"EC4: Manual tests from screenshots, not about BDD/Gherkin generation"
35,Transforming Software Testing with AI-driven Test Automation,2025,,EXCLUDE,IC3: Not clearly peer-reviewed; IC5: No clear empirical results
36,AI-assisted exam variant generation: human-in-the-loop,2025,Education Sciences,EXCLUDE,"IC4: About exam generation in education, not SE/BDD"
37,AI to support PM: ChatGPT quality assessment,2023,PM World Journal,EXCLUDE,"IC4: About project management, not about test generation"
38,How to Evaluate BDD Scenarios Quality?,2019,SBES,UNSURE,"EC4: Only focuses on quality evaluation of BDD scenarios, not on test generation/automation"
39,Question-based checklist to evaluate BDD scenarios quality,2018,,UNSURE,"EC4: Only proposes manual checklist for evaluating BDD scenario quality, not on generation"
40,On the use of user interface specific domain Gherkin in BDD,2025,,EXCLUDE,IC3: Thesis/not clearly peer-reviewed
41,Reducing Maintenance Burden in BDD: Paraphrase-Robust Duplicate-Step Detector,2026,,EXCLUDE,"EC4: About maintenance/duplicate detection, not about generation"
42,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,2025,ICECCME,INCLUDE,Meets all inclusion criteria (IC1-IC5)
43,Classifying BDD Software Tests Using ML and NLP Techniques,2025,ENIAC,EXCLUDE,"EC4: About classification, not about generation"
44,Real-Time Feedback for BDD Test Scenarios Using AI-Based Classification,2025,SAST,EXCLUDE,"EC4: About feedback/classification, not about generation"
45,A Comparative Study of LLMs for Gherkin Generation,2025,SBES,INCLUDE,Meets all inclusion criteria (IC1-IC5)
46,Defining Acceptance Criteria in BDD: Using Gherkin Syntax,,,EXCLUDE,IC2: No publication year; IC3: Not clearly peer-reviewed
